additives_plus_carbs_with_sources_2025_f3ffdfc3
code,name,category,permitted_GB,permitted_NI,permitted_EU,status_notes,child_warning,PKU_warning,polyols_warning,sulphites_allergen_label,origin,overview,typical_uses,effects_summary,effects_verdict,synonyms,matches,ins_number,sources
E252,Potassium nitrate,preservative,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,synthetic (man‑made),Potassium nitrate are curing salts that release nitrite to inhibit Clostridium botulinum in cured meats.,"Cured meats (bacon, ham), some cheeses.",Nitrosamine formation possible; essential for botulism control in cured meats.,caution,,252; potassium nitrate,252,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E280,Propionic acid,preservative,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Propionic acid used as a preservative.,"Soft drinks, pickles, sauces, baked goods (varies).",Generally recognised as safe at permitted use levels.,neutral,,280; propionic acid,280,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E281,Sodium propionate,preservative,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Sodium propionate used as a preservative.,"Soft drinks, pickles, sauces, baked goods (varies).",Generally recognised as safe at permitted use levels.,neutral,,281; sodium propionate,281,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E282,Calcium propionate,preservative,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Calcium propionate used as a preservative.,"Soft drinks, pickles, sauces, baked goods (varies).",Generally recognised as safe at permitted use levels.,neutral,,282; calcium propionate,282,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E283,Potassium propionate,preservative,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Potassium propionate used as a preservative.,"Soft drinks, pickles, sauces, baked goods (varies).",Generally recognised as safe at permitted use levels.,neutral,,283; potassium propionate,283,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E284,Boric acid,preservative,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Boric acid used as a preservative.,"Soft drinks, pickles, sauces, baked goods (varies).",Generally recognised as safe at permitted use levels.,neutral,,284; boric acid,284,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E285,Sodium tetraborate; borax,preservative,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Sodium tetraborate; borax used as a preservative.,"Soft drinks, pickles, sauces, baked goods (varies).",Generally recognised as safe at permitted use levels.,neutral,,285; borax; sodium tetraborate; sodium tetraborate; borax,285,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E1105,Lysozyme,preservative,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Lysozyme used as a preservative.,"Soft drinks, pickles, sauces, baked goods (varies).",Generally recognised as safe at permitted use levels.,neutral,,1105; lysozyme,1105,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E300,Ascorbic acid,antioxidant,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,plant or synthetic (bio‑identical),Ascorbic acid used as a antioxidant.,"Oils, fats, snacks, processed foods prone to oxidation.",Generally recognised as safe at permitted use levels.,neutral,Ascorbic acid; Vitamin C,300; ascorbic acid,300,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E301,Sodium ascorbate,antioxidant,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,plant or synthetic (bio‑identical),Sodium ascorbate used as a antioxidant.,"Oils, fats, snacks, processed foods prone to oxidation.",Generally recognised as safe at permitted use levels.,neutral,,301; sodium ascorbate,301,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E302,Calcium ascorbate,antioxidant,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,plant or synthetic (bio‑identical),Calcium ascorbate used as a antioxidant.,"Oils, fats, snacks, processed foods prone to oxidation.",Generally recognised as safe at permitted use levels.,neutral,,302; calcium ascorbate,302,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E304,Fatty acid esters of ascorbic acid,antioxidant,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,plant or synthetic (bio‑identical),Fatty acid esters of ascorbic acid used as a antioxidant.,"Oils, fats, snacks, processed foods prone to oxidation.",Generally recognised as safe at permitted use levels.,neutral,,304; fatty acid esters of ascorbic acid,304,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E306,Tocopherols,antioxidant,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,plant or synthetic (bio‑identical),Tocopherols used as a antioxidant.,"Oils, fats, snacks, processed foods prone to oxidation.",Generally recognised as safe at permitted use levels.,neutral,Mixed tocopherols; Vitamin E,306; tocopherols,306,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E307,Alpha-tocopherol,antioxidant,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,plant or synthetic (bio‑identical),Alpha-tocopherol used as a antioxidant.,"Oils, fats, snacks, processed foods prone to oxidation.",Generally recognised as safe at permitted use levels.,neutral,,307; alpha; alpha-tocopherol; tocopherol,307,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E308,Gamma-tocopherol,antioxidant,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,plant or synthetic (bio‑identical),Gamma-tocopherol used as a antioxidant.,"Oils, fats, snacks, processed foods prone to oxidation.",Generally recognised as safe at permitted use levels.,neutral,,308; gamma; gamma-tocopherol; tocopherol,308,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E309,Delta-tocopherol,antioxidant,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,plant or synthetic (bio‑identical),Delta-tocopherol used as a antioxidant.,"Oils, fats, snacks, processed foods prone to oxidation.",Generally recognised as safe at permitted use levels.,neutral,,309; delta; delta-tocopherol; tocopherol,309,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E310,Propyl gallate,antioxidant,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Propyl gallate used as a antioxidant.,"Oils, fats, snacks, processed foods prone to oxidation.",Generally recognised as safe at permitted use levels.,neutral,,310; propyl gallate,310,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E315,Erythorbic acid,antioxidant,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Erythorbic acid used as a antioxidant.,"Oils, fats, snacks, processed foods prone to oxidation.",Generally recognised as safe at permitted use levels.,neutral,,315; erythorbic acid,315,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E316,Sodium erythorbate,antioxidant,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Sodium erythorbate used as a antioxidant.,"Oils, fats, snacks, processed foods prone to oxidation.",Generally recognised as safe at permitted use levels.,neutral,,316; sodium erythorbate,316,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E319,Tertiary-butyl hydroquinone (TBHQ),antioxidant,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Tertiary-butyl hydroquinone (TBHQ) are phenolic antioxidants that slow rancidity in fats and oils.,"Oils, fats, snacks, processed foods prone to oxidation.",Controversial in media; considered safe at permitted levels by regulators.,caution,TBHQ,319; butyl hydroquinone; tbhq; tertiary; tertiary-butyl hydroquinone (tbhq),319,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E320,Butylated hydroxyanisole (BHA),antioxidant,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Butylated hydroxyanisole (BHA) are phenolic antioxidants that slow rancidity in fats and oils.,"Oils, fats, snacks, processed foods prone to oxidation.",Controversial in media; considered safe at permitted levels by regulators.,caution,BHA,320; bha; butylated hydroxyanisole; butylated hydroxyanisole (bha),320,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E321,Butylated hydroxytoluene (BHT),antioxidant,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Butylated hydroxytoluene (BHT) are phenolic antioxidants that slow rancidity in fats and oils.,"Oils, fats, snacks, processed foods prone to oxidation.",Controversial in media; considered safe at permitted levels by regulators.,caution,BHT,321; bht; butylated hydroxytoluene; butylated hydroxytoluene (bht),321,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E392,Extracts of rosemary,antioxidant,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,plant or synthetic (bio‑identical),Extracts of rosemary used as a antioxidant.,"Oils, fats, snacks, processed foods prone to oxidation.",Generally recognised as safe at permitted use levels.,neutral,,392; extracts of rosemary,392,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E586,4-Hexylresorcinol,antioxidant,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),4-Hexylresorcinol used as a antioxidant.,"Oils, fats, snacks, processed foods prone to oxidation.",Generally recognised as safe at permitted use levels.,neutral,,4; 4-hexylresorcinol; 586; hexylresorcinol,586,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E420,Sorbitol; Sorbitol syrup,sweetener,TRUE,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,microbial (fermentation),Sorbitol; Sorbitol syrup are polyol sweeteners (sugar alcohols) with lower glycaemic impact.,"Diet drinks, sugar-free confectionery, desserts, tabletop sweeteners.",Polyols: excessive consumption may have laxative effects.,caution,,420; sorbitol; sorbitol syrup; sorbitol; sorbitol syrup,420,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E421,Mannitol,sweetener,TRUE,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,microbial (fermentation),Mannitol are polyol sweeteners (sugar alcohols) with lower glycaemic impact.,"Diet drinks, sugar-free confectionery, desserts, tabletop sweeteners.",Polyols: excessive consumption may have laxative effects.,caution,,421; mannitol,421,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E950,Acesulfame K,sweetener,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,synthetic (man‑made),Acesulfame K used as a sweetener.,"Diet drinks, sugar-free confectionery, desserts, tabletop sweeteners.",Generally recognised as safe at permitted use levels.,neutral,Acesulfame K; Ace-K,950; acesulfame k,950,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E951,Aspartame,sweetener,TRUE,TRUE,TRUE,,FALSE,TRUE,FALSE,FALSE,synthetic (man‑made),Aspartame used as a sweetener.,"Diet drinks, sugar-free confectionery, desserts, tabletop sweeteners.",Contains a source of phenylalanine (PKU warning).,caution,Aspartame; NutraSweet,951; aspartame,951,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}, {""title"": ""FSA: Food additives (PKU note)"", ""url"": ""https://www.food.gov.uk/safety-hygiene/food-additives"", ""covers"": ""Phenylalanine label requirement for aspartame/E962""}]"
E952,Cyclamic acid and salts,sweetener,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,synthetic (man‑made),Cyclamic acid and salts used as a sweetener.,"Diet drinks, sugar-free confectionery, desserts, tabletop sweeteners.",Generally recognised as safe at permitted use levels.,neutral,,952; cyclamic acid and salts,952,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E953,Isomalt,sweetener,TRUE,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,synthetic (man‑made),Isomalt are polyol sweeteners (sugar alcohols) with lower glycaemic impact.,"Diet drinks, sugar-free confectionery, desserts, tabletop sweeteners.",Polyols: excessive consumption may have laxative effects.,caution,,953; isomalt,953,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E954,Saccharin and salts,sweetener,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,synthetic (man‑made),Saccharin and salts used as a sweetener.,"Diet drinks, sugar-free confectionery, desserts, tabletop sweeteners.",Generally recognised as safe at permitted use levels.,neutral,,954; saccharin and salts,954,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E955,Sucralose,sweetener,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,synthetic (man‑made),Sucralose used as a sweetener.,"Diet drinks, sugar-free confectionery, desserts, tabletop sweeteners.",Generally recognised as safe at permitted use levels.,neutral,Sucralose; Splenda,955; sucralose,955,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E957,Thaumatin,sweetener,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,synthetic (man‑made),Thaumatin used as a sweetener.,"Diet drinks, sugar-free confectionery, desserts, tabletop sweeteners.",Generally recognised as safe at permitted use levels.,neutral,,957; thaumatin,957,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E959,Neohesperidine DC,sweetener,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,synthetic (man‑made),Neohesperidine DC used as a sweetener.,"Diet drinks, sugar-free confectionery, desserts, tabletop sweeteners.",Generally recognised as safe at permitted use levels.,neutral,,959; neohesperidine dc,959,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E960a,Steviol glycosides from stevia,sweetener,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,synthetic (man‑made),Steviol glycosides from stevia used as a sweetener.,"Diet drinks, sugar-free confectionery, desserts, tabletop sweeteners.",Generally recognised as safe at permitted use levels.,neutral,,960a; steviol glycosides from stevia,960a,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
