id,name,simple_role,what_it_is,why_it_is_used,common_in,child_note,who_should_take_care,headline_risk_or_benefit,region_status_short,rating,quick_advice,vegan,aka_on_labels,sources_primary,last_updated,uk_grade_weight,uk_grade_note
E235,Natamycin,Preservative,Natamycin helps stop spoilage and keeps foods safe for longer.,Food safety and shelf-life.,"bread, cheese, soft drinks, pickles, cured meats",Sulfites can trigger symptoms in a subset of asthmatics; nitrites are tightly controlled in cured meats.,People with asthma (sulfites); Infants (avoid cured meats),Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"Rotate choices; for kids, lean on fresher options and simple labels. Asthmatics should check for sulfites.",vegan,,"[{""title"": ""EFSA: nitrites/nitrates explainer"", ""url"": ""https://www.efsa.europa.eu/en/corporate/pub/nitritesandnitrates170614""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,
E249,Potassium nitrite,Preservative,Potassium nitrite helps stop spoilage and keeps foods safe for longer.,Food safety and shelf-life.,"bread, cheese, soft drinks, pickles, cured meats",Sulfites can trigger symptoms in a subset of asthmatics; nitrites are tightly controlled in cured meats.,People with asthma (sulfites); Infants (avoid cured meats),Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"Rotate choices; for kids, lean on fresher options and simple labels. Asthmatics should check for sulfites.",vegan,,"[{""title"": ""EFSA: nitrites/nitrates explainer"", ""url"": ""https://www.efsa.europa.eu/en/corporate/pub/nitritesandnitrates170614""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,20,Nitrite: tight UK/EU limits; higher weight due to nitrosamine risk management.
E250,Sodium nitrite,Preservative,Sodium nitrite helps stop spoilage and keeps foods safe for longer.,Food safety and shelf-life.,"bread, cheese, soft drinks, pickles, cured meats",Sulfites can trigger symptoms in a subset of asthmatics; nitrites are tightly controlled in cured meats.,People with asthma (sulfites); Infants (avoid cured meats),Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"Rotate choices; for kids, lean on fresher options and simple labels. Asthmatics should check for sulfites.",vegan,,"[{""title"": ""EFSA: nitrites/nitrates explainer"", ""url"": ""https://www.efsa.europa.eu/en/corporate/pub/nitritesandnitrates170614""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,20,Nitrite: tight UK/EU limits; higher weight due to nitrosamine risk management.
E251,Sodium nitrate,Preservative,Sodium nitrate helps stop spoilage and keeps foods safe for longer.,Food safety and shelf-life.,"bread, cheese, soft drinks, pickles, cured meats",Sulfites can trigger symptoms in a subset of asthmatics; nitrites are tightly controlled in cured meats.,People with asthma (sulfites); Infants (avoid cured meats),Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"Rotate choices; for kids, lean on fresher options and simple labels. Asthmatics should check for sulfites.",vegan,,"[{""title"": ""EFSA: nitrites/nitrates explainer"", ""url"": ""https://www.efsa.europa.eu/en/corporate/pub/nitritesandnitrates170614""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,15,Nitrate: converts to nitrite in curing; managed under strict limits.
E252,Potassium nitrate,Preservative,Potassium nitrate helps stop spoilage and keeps foods safe for longer.,Food safety and shelf-life.,"bread, cheese, soft drinks, pickles, cured meats",Sulfites can trigger symptoms in a subset of asthmatics; nitrites are tightly controlled in cured meats.,People with asthma (sulfites); Infants (avoid cured meats),Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"Rotate choices; for kids, lean on fresher options and simple labels. Asthmatics should check for sulfites.",vegan,,"[{""title"": ""EFSA: nitrites/nitrates explainer"", ""url"": ""https://www.efsa.europa.eu/en/corporate/pub/nitritesandnitrates170614""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,15,Nitrate: converts to nitrite in curing; managed under strict limits.
E260,Acetic acid,Preservative,Acetic acid helps stop spoilage and keeps foods safe for longer.,Food safety and shelf-life.,"bread, cheese, soft drinks, pickles, cured meats",Sulfites can trigger symptoms in a subset of asthmatics; nitrites are tightly controlled in cured meats.,People with asthma (sulfites); Infants (avoid cured meats),Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"Rotate choices; for kids, lean on fresher options and simple labels. Asthmatics should check for sulfites.",vegan,,"[{""title"": ""EFSA: nitrites/nitrates explainer"", ""url"": ""https://www.efsa.europa.eu/en/corporate/pub/nitritesandnitrates170614""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,
E261,Potassium acetate,Preservative,Potassium acetate helps stop spoilage and keeps foods safe for longer.,Food safety and shelf-life.,"bread, cheese, soft drinks, pickles, cured meats",Sulfites can trigger symptoms in a subset of asthmatics; nitrites are tightly controlled in cured meats.,People with asthma (sulfites); Infants (avoid cured meats),Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"Rotate choices; for kids, lean on fresher options and simple labels. Asthmatics should check for sulfites.",vegan,,"[{""title"": ""EFSA: nitrites/nitrates explainer"", ""url"": ""https://www.efsa.europa.eu/en/corporate/pub/nitritesandnitrates170614""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,
E262,Sodium acetates,Preservative,Sodium acetates helps stop spoilage and keeps foods safe for longer.,Food safety and shelf-life.,"bread, cheese, soft drinks, pickles, cured meats",Sulfites can trigger symptoms in a subset of asthmatics; nitrites are tightly controlled in cured meats.,People with asthma (sulfites); Infants (avoid cured meats),Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"Rotate choices; for kids, lean on fresher options and simple labels. Asthmatics should check for sulfites.",vegan,,"[{""title"": ""EFSA: nitrites/nitrates explainer"", ""url"": ""https://www.efsa.europa.eu/en/corporate/pub/nitritesandnitrates170614""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,
E263,Calcium acetate,Preservative,Calcium acetate helps stop spoilage and keeps foods safe for longer.,Food safety and shelf-life.,"bread, cheese, soft drinks, pickles, cured meats",Sulfites can trigger symptoms in a subset of asthmatics; nitrites are tightly controlled in cured meats.,People with asthma (sulfites); Infants (avoid cured meats),Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"Rotate choices; for kids, lean on fresher options and simple labels. Asthmatics should check for sulfites.",vegan,,"[{""title"": ""EFSA: nitrites/nitrates explainer"", ""url"": ""https://www.efsa.europa.eu/en/corporate/pub/nitritesandnitrates170614""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,
E270,Lactic acid,Preservative,Lactic acid helps stop spoilage and keeps foods safe for longer.,Food safety and shelf-life.,"bread, cheese, soft drinks, pickles, cured meats",Sulfites can trigger symptoms in a subset of asthmatics; nitrites are tightly controlled in cured meats.,People with asthma (sulfites); Infants (avoid cured meats),Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"Rotate choices; for kids, lean on fresher options and simple labels. Asthmatics should check for sulfites.",vegan,,"[{""title"": ""EFSA: nitrites/nitrates explainer"", ""url"": ""https://www.efsa.europa.eu/en/corporate/pub/nitritesandnitrates170614""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,
E280,Propionic acid,Preservative,Propionic acid helps stop spoilage and keeps foods safe for longer.,Food safety and shelf-life.,"bread, cheese, soft drinks, pickles, cured meats",Sulfites can trigger symptoms in a subset of asthmatics; nitrites are tightly controlled in cured meats.,People with asthma (sulfites); Infants (avoid cured meats),Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"Rotate choices; for kids, lean on fresher options and simple labels. Asthmatics should check for sulfites.",vegan,,"[{""title"": ""EFSA: nitrites/nitrates explainer"", ""url"": ""https://www.efsa.europa.eu/en/corporate/pub/nitritesandnitrates170614""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,
E281,Sodium propionate,Preservative,Sodium propionate helps stop spoilage and keeps foods safe for longer.,Food safety and shelf-life.,"bread, cheese, soft drinks, pickles, cured meats",Sulfites can trigger symptoms in a subset of asthmatics; nitrites are tightly controlled in cured meats.,People with asthma (sulfites); Infants (avoid cured meats),Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"Rotate choices; for kids, lean on fresher options and simple labels. Asthmatics should check for sulfites.",vegan,,"[{""title"": ""EFSA: nitrites/nitrates explainer"", ""url"": ""https://www.efsa.europa.eu/en/corporate/pub/nitritesandnitrates170614""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,
E282,Calcium propionate,Preservative,Calcium propionate helps stop spoilage and keeps foods safe for longer.,Food safety and shelf-life.,"bread, cheese, soft drinks, pickles, cured meats",Sulfites can trigger symptoms in a subset of asthmatics; nitrites are tightly controlled in cured meats.,People with asthma (sulfites); Infants (avoid cured meats),Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"Rotate choices; for kids, lean on fresher options and simple labels. Asthmatics should check for sulfites.",vegan,,"[{""title"": ""EFSA: nitrites/nitrates explainer"", ""url"": ""https://www.efsa.europa.eu/en/corporate/pub/nitritesandnitrates170614""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,
E283,Potassium propionate,Preservative,Potassium propionate helps stop spoilage and keeps foods safe for longer.,Food safety and shelf-life.,"bread, cheese, soft drinks, pickles, cured meats",Sulfites can trigger symptoms in a subset of asthmatics; nitrites are tightly controlled in cured meats.,People with asthma (sulfites); Infants (avoid cured meats),Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"Rotate choices; for kids, lean on fresher options and simple labels. Asthmatics should check for sulfites.",vegan,,"[{""title"": ""EFSA: nitrites/nitrates explainer"", ""url"": ""https://www.efsa.europa.eu/en/corporate/pub/nitritesandnitrates170614""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,
E296,Malic acid,Acidity regulator/Buffer,"Malic acid adjusts acidity (pH) for taste, texture, or safety.","Controls tartness, preserves quality.","drinks, sweets, yoghurts, baked goods",Acidic drinks can affect tooth enamel; use straws and keep to mealtimes.,People with reflux; Those advised to limit phosphates,Widely used; limits apply depending on food.,EU/GB/US: permitted,Generally OK,"Mostly fine; if you have reflux or kidney conditions, check with your clinician about high-acid foods.",vegan,,"[{""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,2,
E297,Fumaric acid,Acidity regulator/Buffer,"Fumaric acid adjusts acidity (pH) for taste, texture, or safety.","Controls tartness, preserves quality.","drinks, sweets, yoghurts, baked goods",Acidic drinks can affect tooth enamel; use straws and keep to mealtimes.,People with reflux; Those advised to limit phosphates,Widely used; limits apply depending on food.,EU/GB/US: permitted,Generally OK,"Mostly fine; if you have reflux or kidney conditions, check with your clinician about high-acid foods.",vegan,,"[{""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,2,
E330,Citric acid,Acidity regulator/Buffer,"Citric acid adjusts acidity (pH) for taste, texture, or safety.","Controls tartness, preserves quality.","drinks, sweets, yoghurts, baked goods",Acidic drinks can affect tooth enamel; use straws and keep to mealtimes.,People with reflux; Those advised to limit phosphates,Widely used; limits apply depending on food.,EU/GB/US: permitted,Generally OK,"Mostly fine; if you have reflux or kidney conditions, check with your clinician about high-acid foods.",vegan,,"[{""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,2,
E331(i),Sodium dihydrogen citrate,Acidity regulator/Buffer,"Sodium dihydrogen citrate adjusts acidity (pH) for taste, texture, or safety.","Controls tartness, preserves quality.","drinks, sweets, yoghurts, baked goods",Acidic drinks can affect tooth enamel; use straws and keep to mealtimes.,People with reflux; Those advised to limit phosphates,Widely used; limits apply depending on food.,EU/GB/US: permitted,Generally OK,"Mostly fine; if you have reflux or kidney conditions, check with your clinician about high-acid foods.",vegan,,"[{""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,2,
E331(ii),Disodium hydrogen citrate,Acidity regulator/Buffer,"Disodium hydrogen citrate adjusts acidity (pH) for taste, texture, or safety.","Controls tartness, preserves quality.","drinks, sweets, yoghurts, baked goods",Acidic drinks can affect tooth enamel; use straws and keep to mealtimes.,People with reflux; Those advised to limit phosphates,Widely used; limits apply depending on food.,EU/GB/US: permitted,Generally OK,"Mostly fine; if you have reflux or kidney conditions, check with your clinician about high-acid foods.",vegan,,"[{""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,2,
E331(iii),Trisodium citrate,Acidity regulator/Buffer,"Trisodium citrate adjusts acidity (pH) for taste, texture, or safety.","Controls tartness, preserves quality.","drinks, sweets, yoghurts, baked goods",Acidic drinks can affect tooth enamel; use straws and keep to mealtimes.,People with reflux; Those advised to limit phosphates,Widely used; limits apply depending on food.,EU/GB/US: permitted,Generally OK,"Mostly fine; if you have reflux or kidney conditions, check with your clinician about high-acid foods.",vegan,,"[{""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,2,
E332(i),Potassium dihydrogen citrate,Acidity regulator/Buffer,"Potassium dihydrogen citrate adjusts acidity (pH) for taste, texture, or safety.","Controls tartness, preserves quality.","drinks, sweets, yoghurts, baked goods",Acidic drinks can affect tooth enamel; use straws and keep to mealtimes.,People with reflux; Those advised to limit phosphates,Widely used; limits apply depending on food.,EU/GB/US: permitted,Generally OK,"Mostly fine; if you have reflux or kidney conditions, check with your clinician about high-acid foods.",vegan,,"[{""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,2,
E332(ii),Dipotassium hydrogen citrate,Acidity regulator/Buffer,"Dipotassium hydrogen citrate adjusts acidity (pH) for taste, texture, or safety.","Controls tartness, preserves quality.","drinks, sweets, yoghurts, baked goods",Acidic drinks can affect tooth enamel; use straws and keep to mealtimes.,People with reflux; Those advised to limit phosphates,Widely used; limits apply depending on food.,EU/GB/US: permitted,Generally OK,"Mostly fine; if you have reflux or kidney conditions, check with your clinician about high-acid foods.",vegan,,"[{""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,2,
E332(iii),Tripotassium citrate,Acidity regulator/Buffer,"Tripotassium citrate adjusts acidity (pH) for taste, texture, or safety.","Controls tartness, preserves quality.","drinks, sweets, yoghurts, baked goods",Acidic drinks can affect tooth enamel; use straws and keep to mealtimes.,People with reflux; Those advised to limit phosphates,Widely used; limits apply depending on food.,EU/GB/US: permitted,Generally OK,"Mostly fine; if you have reflux or kidney conditions, check with your clinician about high-acid foods.",vegan,,"[{""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,2,
E333(i),Calcium dihydrogen citrate,Acidity regulator/Buffer,"Calcium dihydrogen citrate adjusts acidity (pH) for taste, texture, or safety.","Controls tartness, preserves quality.","drinks, sweets, yoghurts, baked goods",Acidic drinks can affect tooth enamel; use straws and keep to mealtimes.,People with reflux; Those advised to limit phosphates,Widely used; limits apply depending on food.,EU/GB/US: permitted,Generally OK,"Mostly fine; if you have reflux or kidney conditions, check with your clinician about high-acid foods.",vegan,,"[{""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,2,
E333(ii),Calcium hydrogen citrate,Acidity regulator/Buffer,"Calcium hydrogen citrate adjusts acidity (pH) for taste, texture, or safety.","Controls tartness, preserves quality.","drinks, sweets, yoghurts, baked goods",Acidic drinks can affect tooth enamel; use straws and keep to mealtimes.,People with reflux; Those advised to limit phosphates,Widely used; limits apply depending on food.,EU/GB/US: permitted,Generally OK,"Mostly fine; if you have reflux or kidney conditions, check with your clinician about high-acid foods.",vegan,,"[{""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,2,
